,problemid,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,gen_alpha,gen_gamma,bf_cp,bf_ss_mn,bf_theta,bf_p_stay,bf_tau,bf_alpha,bf_gamma_mn,msd_cp,msd_ss
80,normal_high_diff,0,200,0.51500000000000001,2.6299999999999999,1,0.0,0.01,,,0.50229734685635685,3.6299999917764527,1,0.72451790571200003,0.37524104714400003,,,0.012702653143643161,8.2235471765557122e-09
81,normal_high_diff,1,200,0.46000000000000002,2.8650000000000002,1,0.0,0.01,,,0.50229734685635685,3.8650000085209735,1,0.74126778841000007,0.42936610579499995,,,0.042297346856356832,8.5209732603175325e-09
82,normal_high_diff,2,200,0.47499999999999998,3.3399999999999999,1,0.0,0.01,,,0.50229734685635685,4.3399999970198078,1,0.76958525329799998,0.35895737335100003,,,0.027297346856356874,2.9801920931049608e-09
83,normal_high_diff,3,200,0.5,2.8300000000000001,1,0.0,0.01,,,0.50229734685635685,3.8300000183379641,1,0.73890339550600004,0.37835103662199998,,,0.0022973468563568522,1.8337964036163612e-08
84,normal_high_diff,4,200,0.51000000000000001,3.105,1,0.0,0.01,,,0.50229734685635685,4.1049999317348984,1,0.75639463663100004,0.35930268168399998,,,0.0077026531436431567,6.8265102015629964e-08
85,normal_high_diff,5,200,0.47499999999999998,3.04,1,0.0,0.01,,,0.50229734685635685,4.0400000365970667,1,0.75247524976699998,0.348762375116,,,0.027297346856356874,3.659706671044205e-08
86,normal_high_diff,6,200,0.45000000000000001,2.7000000000000002,1,0.0,0.01,,,0.50229734685635685,3.6999999512125417,1,0.72972972616600007,0.39607263691699995,,,0.052297346856356841,4.878745851755184e-08
87,normal_high_diff,7,200,0.48999999999999999,3.0499999999999998,1,0.0,0.01,,,0.50229734685635685,4.050000018713833,1,0.75308642089399991,0.38595678955300006,,,0.012297346856356861,1.8713833149774928e-08
88,normal_high_diff,8,200,0.53000000000000003,3.3300000000000001,1,0.0,0.01,,,0.50229734685635685,4.3300000167444548,1,0.7690531186759999,0.37484844066200002,,,0.027702653143643174,1.6744454711670187e-08
89,normal_high_diff,9,200,0.46000000000000002,3.54,1,0.0,0.01,,,0.50229734685635685,4.5400000324759828,1,0.77973568439500007,0.39763215780299999,,,0.042297346856356832,3.2475982791879687e-08
90,normal_high_diff,0,200,0.77500000000000002,1.8799999999999999,1,0.0,1.0,,,0.63069516293653805,2.8800000109836286,1,0.65277777910199997,0.42361111044900002,,,0.14430483706346198,1.0983628673244539e-08
91,normal_high_diff,1,200,0.73499999999999999,2.2549999999999999,1,0.0,1.0,,,0.63069516293653805,3.2549999556637594,1,0.69278033375699999,0.43173483312100003,,,0.10430483706346194,4.4336240456743781e-08
92,normal_high_diff,2,200,0.75,2.1400000000000001,1,0.0,1.0,,,0.63069516293653793,3.1399999825940386,1,0.68152866065500006,0.44673566967200001,,,0.11930483706346207,1.7405961560967853e-08
93,normal_high_diff,3,200,0.78500000000000003,2.2799999999999998,1,0.0,1.0,,,0.63069516293653805,3.279999985922502,1,0.69512194991099996,0.41493902504399999,,,0.15430483706346199,1.4077497834108499e-08
94,normal_high_diff,4,200,0.755,2.105,1,0.0,1.0,,,0.63069516293653805,3.1050000272109157,1,0.67793881119599997,0.40946342139799996,,,0.12430483706346196,2.7210915742870156e-08
95,normal_high_diff,5,200,0.72499999999999998,2.0499999999999998,1,0.0,1.0,,,0.63069516293653805,3.0499999763625008,1,0.67213114500000004,0.38893442750000001,,,0.094304837063461933,2.3637499069195655e-08
96,normal_high_diff,6,200,0.79500000000000004,2.2450000000000001,1,0.0,1.0,,,0.63069516293653805,3.2450000139241166,1,0.69183359146099999,0.40408320426900002,,,0.16430483706346199,1.3924116526453645e-08
97,normal_high_diff,7,200,0.71499999999999997,1.97,1,0.0,1.0,,,0.63069516293653805,2.9700000334341818,1,0.66329966708999999,0.42772516645499997,,,0.084304837063461924,3.3434182089564501e-08
98,normal_high_diff,8,200,0.78500000000000003,2.125,1,0.0,1.0,,,0.63069516293653805,3.1250000116406267,1,0.6800000011920001,0.43499999940399997,,,0.15430483706346199,1.1640626684794597e-08
99,normal_high_diff,9,200,0.80000000000000004,1.915,1,0.0,1.0,,,0.63069516293653805,2.9150000060572685,1,0.65694682747100008,0.44027658626400001,,,0.169304837063462,6.0572684645876507e-09
100,normal_high_diff,0,200,0.41499999999999998,5.04,1,0.3,0.01,,,0.47183782840675492,6.0399999308777579,1,0.834437084198,0.37028145790100003,,,0.056837828406754942,6.9122242152275248e-08
101,normal_high_diff,1,200,0.48499999999999999,5.1849999999999996,1,0.3,0.01,,,0.47183782840675492,6.1850000877431324,1,0.83831851482399999,0.330840742588,,,0.013162171593245064,8.7743132759499076e-08
102,normal_high_diff,2,200,0.38,4.9450000000000003,1,0.3,0.01,,,0.47183782840675492,5.9450001197602136,1,0.83179142475099999,0.28410428762400003,,,0.091837828406754918,1.1976021330184494e-07
103,normal_high_diff,3,200,0.435,5.1799999999999997,1,0.3,0.01,,,0.47183782840675487,6.180000117923921,1,0.83818770535300002,0.35668739732400001,,,0.036837828406754869,1.1792392129450491e-07
104,normal_high_diff,4,200,0.40000000000000002,4.6749999999999998,1,0.3,0.01,,,0.47183782840675487,5.675000040594977,1,0.82378854751599995,0.35060572624200004,,,0.071837828406754844,4.059497715758198e-08
105,normal_high_diff,5,200,0.46999999999999997,4.6449999999999996,1,0.3,0.01,,,0.47183782840675498,5.6449999833964473,1,0.82285208096700002,0.33896458451599998,,,0.0018378284067550044,1.660355231081212e-08
