,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,bf_cp_mn,bf_ss_mn_mn,bf_theta_mn,bf_p_stay_mn,bf_tau_mn,bf_cp_sd,bf_ss_mn_sd,bf_theta_sd,bf_p_stay_sd,bf_tau_sd,msd_cp_mn,msd_ss_mn,msd_cp_sd,msd_ss_sd
0,0.4395,1.1145,1.0,0.0,0.01,0.53125,1.1145000002,1.0,0.102274873033,0.710346938483,0.0,0.0267134984652,0.0,0.0214086277949,0.0158178246784,0.09175,0.999999999804,0.0404454364958,1.40489495036e-08
0,0.4385,1.135,1.0,0.0,1.0,0.53125,1.13499999953,1.0,0.11834251184,0.70090686908,0.0,0.0310912635417,0.0,0.0243599762329,0.01836396129,0.09275,1.00000000047,0.0272895991583,0.0
0,0.4325,1.562,1.0,0.3,0.01,0.53125,1.56199999211,1.0,0.359140478531,0.576035229485,0.0,0.0527678347008,0.0,0.0215516739283,0.0288440937659,0.09875,1.00000000789,0.0363050348513,0.0
0,0.436,1.6075,1.0,0.3,1.0,0.53125,1.60750000054,1.0,0.376931542405,0.574896045204,0.0,0.0673815900284,0.0,0.0261404305797,0.0209115917207,0.09525,0.999999999458,0.0398469293394,1.98682149251e-08
0,0.5125,3.5485,3.0,0.0,0.01,0.562256809339,4.74226451139,2.0,0.159574707547,0.680445800523,0.0,0.0820932043325,0.0,0.0146636196578,0.0208816646003,0.0497568093385,0.193764511386,0.0343389962967,0.127283961583
0,0.5225,3.572,3.0,0.0,1.0,0.53125,3.57199999602,1.0,0.718857052179,0.391443895176,0.0,0.247354896272,0.0,0.0190924564593,0.0199073411739,0.01775,1.00000000398,0.0160813902108,4.44266791642e-08
0,0.5025,4.8895,3.0,0.3,0.01,0.562256809339,5.40859986623,2.0,0.262886119485,0.627845880688,1.40489495036e-08,0.137427715564,0.0,0.0187522783731,0.0120668545279,0.0597568093385,0.480900133774,0.0312027420447,0.131627164236
0,0.508,5.1705,3.0,0.3,1.0,0.53125,5.17050002561,1.0,0.805844363469,0.358035765043,0.0,0.329489872899,0.0,0.0131235012771,0.018658170893,0.029,0.999999974391,0.0163490570574,6.58954141608e-08
0,0.5355,8.168,5.0,0.0,0.01,0.562256809339,8.28097945784,2.0,0.518444136069,0.495036965169,0.0,0.250505368075,0.0,0.0147243421323,0.0198622911442,0.0283054474708,0.88702054216,0.0236168134424,0.0843471996795
0,0.548,8.0785,5.0,0.0,1.0,0.549854085603,8.14912910881,1.6,0.6596214661,0.42893926695,0.0160118474916,0.313904539988,0.516397779494,0.185683088595,0.0973939245621,0.0246527237354,0.929370891194,0.0146835771283,0.108137351327
0,0.5405,11.5375,5.0,0.3,0.01,0.562256809339,11.6276695176,2.0,0.656159925954,0.428902458898,0.0,0.717765727989,0.0,0.0211700241877,0.0295373027638,0.0318540856031,0.909830482423,0.0226305099609,0.158092270985
0,0.5435,11.4,5.0,0.3,1.0,0.549854085603,11.4686805256,1.6,0.754423961825,0.379584894087,0.0160118474916,0.447142287042,0.516397779494,0.138033530355,0.0646861638535,0.0257013618677,0.931319474353,0.0178576811345,0.159939563093
0,0.552,15.536,7.0,0.0,0.01,0.592784749035,15.0820604673,3.0,0.408260321619,0.54687249422,7.02447475182e-09,0.686275817495,0.0,0.0280740267521,0.0292505114653,0.0546708494208,1.4539395327,0.0242783391668,0.360606454854
0,0.552,14.909,7.0,0.0,1.0,0.580573573156,14.9064772664,2.6,0.534793725312,0.489146106094,0.0157645602717,0.745910500244,0.516397779494,0.169093436635,0.0870298482263,0.0526708494208,1.00252273358,0.03093458542,0.287760199513
0,0.5615,21.6075,7.0,0.3,0.01,0.592784749035,21.3007267369,3.0,0.580762157529,0.459940576509,9.93410746257e-09,1.14334929124,0.0,0.0221477931348,0.0250088771934,0.0436138996139,1.30677326313,0.0180065815941,0.414252404754
0,0.5585,21.09,7.0,0.3,1.0,0.583626367126,21.167946717,2.7,0.647440495486,0.430684049132,0.0147463958474,0.909016857061,0.48304589154,0.11624731372,0.0596341964785,0.0341097437766,0.922053282963,0.0305497798729,0.360450832435
0,0.562,23.135,9.0,0.0,0.01,0.622612675741,22.8866581198,4.0,0.313379709875,0.598134363813,9.93410746257e-09,0.870872592165,0.0,0.0255798061819,0.0255942515777,0.0606126757414,1.24834188016,0.0279085809186,0.422431064062
0,0.5445,23.356,9.0,0.0,1.0,0.604715919717,23.4012836915,3.4,0.498315269109,0.501506427946,0.0154030751182,1.27038911461,0.516397779494,0.167426127336,0.0757309073171,0.0602159197174,0.954716308524,0.022003557448,0.435610530771
0,0.573,34.7135,9.0,0.3,0.01,0.61944977935,34.5491292577,3.9,0.553256682893,0.472387905349,0.0217119178188,1.66191137971,0.737864787373,0.169260437682,0.0768866061505,0.0464497793503,1.16437074234,0.0186061336464,0.54057909823
0,0.5695,33.5815,9.0,0.3,1.0,0.598680333077,33.6784004668,3.2,0.689474489152,0.42121932891,0.0190131288703,1.33017669665,0.632455532034,0.117819815036,0.072170920043,0.0317289712094,0.903099533231,0.0193948561987,0.491087464238
