"","subj","description","dec","g1p1","g1o1","g1o2","g2p1","g2o1","g2o2","r_aprob1","r_aout1","r_aprob2","r_aout2","r_bprob1","r_bout1","r_bprob2","r_bout2","exp","exclude","decision_overweighting","overweight","samples","outcome_explic","trial","age","female","targets","g1p2","g2p2","reduced","reduced_zero","reduced_out"
"23",1002,1,2,0.62,4.7,12.3,0.6,1,27.2,0.620000004768372,4.7,0.379999995231628,12.3,0.600000023841858,1,0.400000005960464,27.2,1,1,0,NA,NA,NA,23,20,0,0,0.38,0.4,0,0,0
"24",1002,1,2,0.5,4.1,13.4,0.5,12.9,11.4,0.5,4.1,0.5,13.4,0.5,12.9,0.5,11.4,1,1,0,NA,NA,NA,24,20,0,0,0.5,0.5,0,0,0
"25",1002,1,1,0.45,11.1,11.5,0.46,3.7,11.9,0.449999988079071,11.1,0.550000011920929,11.5,0.46000000834465,3.7,0.540000021457672,11.9,1,1,0,NA,NA,NA,25,20,0,0,0.55,0.54,0,0,0
"26",1002,1,1,0.52,11.8,11.9,0.45,12.5,5.2,0.519999980926514,11.8,0.479999989271164,11.9,0.449999988079071,12.5,0.550000011920929,5.2,1,1,0,NA,NA,NA,26,20,0,0,0.48,0.55,0,0,0
"27",1002,1,2,0.64,12.7,0.1,0.51,21.3,1.5,0.639999985694885,12.7,0.360000014305115,0.1,0.509999990463257,21.3,0.490000009536743,1.5,1,1,0,NA,NA,NA,27,20,0,0,0.36,0.49,0,0,0
"28",1002,1,1,0.36,17.9,7.8,0.36,2.9,11.1,0.360000014305115,17.9,0.639999985694885,7.8,0.360000014305115,2.9,0.639999985694885,11.1,1,1,0,NA,NA,NA,28,20,0,0,0.64,0.64,0,0,0
"29",1002,1,1,0.51,16.7,7.2,0.4,18.5,2.4,0.509999990463257,16.7,0.490000009536743,7.2,0.400000005960464,18.5,0.600000023841858,2.4,1,1,0,NA,NA,NA,29,20,0,0,0.49,0.6,0,0,0
"30",1002,1,1,0.64,0.1,24.3,0.49,1,22.8,0.639999985694885,0.1,0.360000014305115,24.3,0.490000009536743,1,0.509999990463257,22.8,1,1,0,NA,NA,NA,30,20,0,0,0.36,0.51,0,0,0
"31",1002,1,1,0.42,5.8,12.8,0.07,24.4,9,0.419999986886978,5.8,0.579999983310699,12.8,0.0700000002980232,24.4,0.930000007152557,9,1,0,2,0,NA,NA,31,20,0,1,0.58,0.93,0,0,0
"32",1002,1,1,0.1,29.4,8,0.57,12.3,7.3,0.100000001490116,29.4,0.899999976158142,8,0.569999992847443,12.3,0.430000007152557,7.3,1,0,1,1,NA,NA,32,20,0,1,0.9,0.43,0,0,0
"33",1002,1,2,0.43,12.1,8.7,0.94,9.6,22.9,0.430000007152557,12.1,0.569999992847443,8.7,0.939999997615814,9.6,0.0599999986588955,22.9,1,0,2,1,NA,NA,33,20,0,1,0.57,0.06,0,0,0
"34",1002,1,2,0.46,15.5,5.2,0.91,8.7,18.3,0.46000000834465,15.5,0.540000021457672,5.2,0.910000026226044,8.7,0.0900000035762787,18.3,1,0,2,1,NA,NA,34,20,0,1,0.54,0.09,0,0,0
"35",1002,1,2,0.36,1.9,15,0.09,26.5,8.3,0.360000014305115,1.9,0.639999985694885,15,0.0900000035762787,26.5,0.910000026226044,8.3,1,0,2,1,NA,NA,35,20,0,1,0.64,0.91,0,0,0
"36",1002,1,2,0.43,5.5,13.2,0.91,8.6,22.7,0.430000007152557,5.5,0.569999992847443,13.2,0.910000026226044,8.6,0.0900000035762787,22.7,1,0,2,1,NA,NA,36,20,0,1,0.57,0.09,0,0,0
"37",1002,1,2,0.48,5.3,13.3,0.92,9,18.2,0.479999989271164,5.3,0.519999980926514,13.3,0.920000016689301,9,0.0799999982118607,18.2,1,0,2,1,NA,NA,38,20,0,1,0.52,0.08,0,0,0
"38",1002,1,1,0.92,8.8,24.2,0.35,5.4,13.2,0.920000016689301,8.8,0.0799999982118607,24.2,0.349999994039536,5.4,0.649999976158142,13.2,1,0,1,1,NA,NA,39,20,0,1,0.08,0.65,0,0,0
