<<<<<<< HEAD
,iteration,success,k,N,msd,prelec_gamma,s
0,0,True,2,1200,0.0177554374057,1.07655540932,0.649072277471
1,1,True,2,1200,0.0177554374057,1.07655541192,0.64907227555
2,2,True,2,1200,0.0177554374057,1.07655540867,0.649072278584
=======
,iteration,success,k,N,msd,llh,prelec_gamma,s
0,0,True,2,6000,,3096.46436994,1.03635015709,0.613357479585
1,1,True,2,6000,,3096.4643686,1.03638646015,0.613284645128
2,2,True,2,6000,,3096.46436855,1.03640403844,0.613289652694
>>>>>>> 9f89458e7b0515ba4c36f612cfef112ada07ae2b
