,iteration,success,k,N,msd,llh,prelec_gamma,s
0,0,True,2,6000,,2481.95668566,0.75135505687,0.918499104549
1,1,True,2,6000,,2481.95668653,0.751317905079,0.918490748209
2,2,True,2,6000,,2481.9566854,0.751324875801,0.918477060291
