,iteration,success,k,N,msd,llh,prelec_gamma,s
0,0,True,2,6000,,3485.89924828,1.20137426569,0.432282262461
1,1,True,2,6000,,3485.89924884,1.20145551073,0.432276991686
2,2,True,2,6000,,3485.89924853,1.20136588783,0.432304426265
