,iteration,success,k,N,msd,prelec_gamma,s
0,0,True,2,1200,0.0241854146526,1.06066267791,0.543541749205
1,1,True,2,1200,0.0241854146526,1.06066267179,0.543541751672
2,2,True,2,1200,0.0241854146526,1.06066266921,0.543541758871
