,iteration,success,k,N,msd,llh,prelec_gamma,s
0,0,True,2,6000,,2253.061789,1.25703628562,1.09983563215
1,1,True,2,6000,,2253.06178815,1.25703143207,1.09982867555
2,2,True,2,6000,,2253.06178771,1.25699866381,1.09987649738
