,iteration,success,k,N,msd,llh,prelec_gamma,s
0,0,True,2,6000,,2521.07274267,0.996651254177,0.960458583673
1,1,True,2,6000,,2521.07274136,0.996690394231,0.960470883141
2,2,True,2,6000,,2521.07274032,0.996658646003,0.960407771221
