"subject" "problem" "choice" "order"
"12" "27" 1 1 4
"10" "27" 2 1 2
"9" "27" 3 0 1
"11" "27" 4 1 3
"16" "28" 1 1 4
"14" "28" 2 0 2
"13" "28" 3 1 1
"15" "28" 4 1 3
"29" "29" 1 1 1
"31" "29" 2 1 3
"32" "29" 3 0 4
"30" "29" 4 1 2
"33" "30" 1 0 1
"34" "30" 2 1 2
"35" "30" 3 1 3
"36" "30" 4 1 4
"37" "31" 1 0 1
"39" "31" 2 1 3
"40" "31" 3 1 4
"38" "31" 4 1 2
"48" "32" 1 0 4
"47" "32" 2 1 3
"45" "32" 3 0 1
"46" "32" 4 1 2
"63" "33" 1 1 3
"61" "33" 2 1 1
"62" "33" 3 1 2
"64" "33" 4 1 4
"65" "34" 1 0 1
"66" "34" 2 1 2
"68" "34" 3 1 4
"67" "34" 4 0 3
"74" "35" 1 0 2
"73" "35" 2 1 1
"76" "35" 3 0 4
"75" "35" 4 1 3
"87" "36" 1 0 3
"86" "36" 2 1 2
"85" "36" 3 0 1
"88" "36" 4 1 4
"98" "37" 1 0 2
"99" "37" 2 1 3
"97" "37" 3 0 1
"100" "37" 4 1 4
"104" "38" 1 1 4
"101" "38" 2 0 1
"102" "38" 3 1 2
"103" "38" 4 0 3
"106" "39" 1 0 2
"105" "39" 2 1 1
"108" "39" 3 0 4
"107" "39" 4 1 3
"124" "40" 1 0 4
"121" "40" 2 1 1
"122" "40" 3 1 2
"123" "40" 4 0 3
"137" "41" 1 1 1
"139" "41" 2 1 3
"140" "41" 3 1 4
"138" "41" 4 1 2
"149" "42" 1 1 1
"150" "42" 2 1 2
"152" "42" 3 0 4
"151" "42" 4 1 3
"155" "43" 1 1 3
"156" "43" 2 1 4
"154" "43" 3 1 2
"153" "43" 4 0 1
"163" "44" 1 0 3
"164" "44" 2 1 4
"161" "44" 3 0 1
"162" "44" 4 1 2
"165" "45" 1 0 1
"166" "45" 2 1 2
"167" "45" 3 1 3
"168" "45" 4 1 4
"170" "46" 1 1 2
"171" "46" 2 1 3
"172" "46" 3 0 4
"169" "46" 4 1 1
"182" "47" 1 0 2
"181" "47" 2 1 1
"184" "47" 3 0 4
"183" "47" 4 1 3
"186" "48" 1 1 2
"188" "48" 2 0 4
"187" "48" 3 1 3
"185" "48" 4 0 1
"191" "49" 1 0 3
"189" "49" 2 1 1
"192" "49" 3 0 4
"190" "49" 4 0 2
