,iteration,success,nllh,k,N,bic,c_sigma,prelec_elevation,prelec_gamma,sc,tau_trunc,theta
0,0,True,4578.42652674,6,1170,9199.24160765,12.2106959129,1.02676603174,1.81375561455,0.384291432556,87.0318890224,40.4789092216
1,1,True,4565.94932236,6,1170,9174.28719889,7.31604569988,1.06799435993,1.54702245709,0.799334497769,46.2895700206,22.3844859377
