,iteration,success,nllh,k,N,bic,c_sigma,prelec_elevation,prelec_gamma,tau_trunc,theta
0,0,True,4627.90197669,5,1170,9291.12774852,32.9280131735,2.10344159005,1.4125974214,80.7432832978,95.3315755566
1,1,True,4614.92444021,5,1170,9265.17267555,3.58949582695,1.95364568897,1.89281425218,75.0086889188,10.8586411416
