,dataset,stoprule,model,N,k,nllh,bic,p_stop_geom,theta,tau,tau_trunc,c_sigma,prelec_elevation,prelec_gamma
3,HBWE04,optional,3,150,5,677.742123378,1380.53742323,,74.9119951844,,44.5939139799,17.2198854198,0.411553481344,2.72936997566
3,HPKH08-1,optional,3,230,5,944.404552151,1915.99950085,,41.7875898031,,55.8953911263,11.2006032693,2.01775895544,0.976579424201
3,HPKH08-2,optional,3,234,5,1237.47401681,2502.22463919,,113.447407495,,58.7929700236,17.9643170018,1.21958841913,1.02356242644
