,dataset,group,stoprule,model,N,k,nllh,bic,theta,tau_trunc,c_sigma,prelec_elevation,prelec_gamma
0,FHR14,happy,optional,0,243,5,1237.44754337,2502.36039395,128.714208329,24.3688298491,23.4610275614,1.3702041137,1.46346983421
1,FHR14,sad,optional,0,252,5,1332.98140894,2693.60996332,130.316107189,26.8238686484,19.8172464205,1.97763412831,0.878633943387
2,FHR14,fearful,optional,0,261,5,1458.71675321,2945.25610845,146.422355116,28.8480299582,20.4365968236,1.08468382359,1.06953779894
3,FHR14,angry,optional,0,252,5,1322.87691399,2673.40097342,136.350455544,98.1434732484,22.3241435369,1.8277575112,0.919729932546
