"subject" "problem" "trial" "option" "outcome"
"1310" "3" 2 84 0 -3
"1311" "3" 2 85 0 -3
"1312" "3" 2 86 0 -3
"1313" "3" 2 87 1 0
"1314" "3" 2 88 0 -3
"1315" "3" 2 89 1 0
"1316" "3" 2 90 0 -3
"1317" "3" 2 91 1 0
"1318" "3" 2 92 0 -3
"1319" "3" 2 93 1 0
"1320" "3" 2 94 0 -3
"1321" "3" 2 95 1 0
"1322" "3" 2 96 0 -3
"1323" "3" 2 97 1 0
"1324" "3" 2 98 0 -3
"1325" "3" 2 99 1 0
"1326" "3" 2 100 0 -3
"1327" "3" 2 101 1 0
"1328" "3" 2 102 0 -3
"1329" "3" 2 103 1 0
"1330" "3" 2 104 0 -3
"1331" "3" 2 105 1 0
"1332" "3" 2 106 0 -3
"1333" "3" 2 107 1 0
"1334" "3" 2 108 0 -3
"1335" "3" 2 109 1 0
"1336" "3" 2 110 0 -3
"1337" "3" 2 111 1 0
"1338" "3" 2 112 0 -3
"1339" "3" 2 113 1 0
"1340" "3" 2 114 0 -3
"1155" "3" 3 1 0 -3
"1156" "3" 3 2 0 -3
"1157" "3" 3 3 0 -3
"1158" "3" 3 4 0 -3
"1159" "3" 3 5 1 -4
"1160" "3" 3 6 1 -4
"1161" "3" 3 7 0 -3
"1162" "3" 3 8 1 -4
"1163" "3" 3 9 0 -3
"1164" "3" 3 10 1 -4
"1165" "3" 3 11 0 -3
"1166" "3" 3 12 1 -4
"1167" "3" 3 13 0 -3
"1168" "3" 3 14 1 0
"1169" "3" 3 15 0 -3
"1170" "3" 3 16 1 -4
"1171" "3" 3 17 0 -3
"1172" "3" 3 18 1 -4
"1173" "3" 3 19 0 -3
"1174" "3" 3 20 0 -3
"1175" "3" 3 21 0 -3
"1176" "3" 3 22 1 -4
"1177" "3" 3 23 0 -3
"1178" "3" 3 24 1 -4
"1179" "3" 3 25 0 -3
"1180" "3" 3 26 1 -4
"1181" "3" 3 27 0 -3
"1182" "3" 3 28 1 -4
"1183" "3" 3 29 0 -3
"1184" "3" 3 30 1 -4
"1185" "3" 3 31 0 -3
"1186" "3" 3 32 1 0
"1187" "3" 3 33 0 -3
"1188" "3" 3 34 0 -3
"1189" "3" 3 35 0 -3
"1190" "3" 3 36 1 -4
"1191" "3" 3 37 0 -3
"1380" "3" 4 1 1 3
"1381" "3" 4 2 0 0
"1382" "3" 4 3 1 3
"1383" "3" 4 4 0 0
"1384" "3" 4 5 1 3
"1385" "3" 4 6 0 0
"1386" "3" 4 7 1 3
"1387" "3" 4 8 0 0
"1388" "3" 4 9 1 3
"1389" "3" 4 10 0 0
"1390" "3" 4 11 1 3
"1391" "3" 4 12 0 0
"1392" "3" 4 13 1 3
"1393" "3" 4 14 0 0
"1394" "3" 4 15 1 3
"1395" "3" 4 16 0 0
"1396" "3" 4 17 1 3
"1397" "3" 4 18 0 0
"1398" "3" 4 19 1 3
"1399" "3" 4 20 0 0
"1400" "3" 4 21 0 0
"1401" "3" 4 22 1 3
"1402" "3" 4 23 0 0
"1403" "3" 4 24 1 3
"1404" "3" 4 25 0 0
"1405" "3" 4 26 0 32
"1406" "3" 4 27 1 3
"1407" "3" 4 28 1 3
"1408" "3" 4 29 0 0
"1409" "3" 4 30 1 3
"1410" "3" 4 31 1 3
"1411" "3" 4 32 1 3
"1412" "3" 4 33 0 0
"1413" "3" 4 34 1 3
"1414" "3" 4 35 0 0
"1415" "3" 4 36 1 3
"1416" "3" 4 37 0 0
"1417" "3" 4 38 0 0
"1418" "3" 4 39 0 0
"1419" "3" 4 40 1 3
"1420" "3" 4 41 0 0
"1421" "3" 4 42 1 3
"1422" "3" 4 43 0 32
"1423" "3" 4 44 1 3
"1424" "3" 4 45 0 0
"1425" "3" 4 46 1 3
"1426" "3" 4 47 0 0
"1427" "3" 4 48 1 3
"1428" "3" 4 49 0 0
"1429" "3" 4 50 1 3
"1430" "3" 4 51 0 0
"1431" "3" 4 52 1 3
"1432" "3" 4 53 0 32
"1433" "3" 4 54 1 3
"1434" "3" 4 55 1 3
"1435" "3" 4 56 0 0
"1436" "3" 4 57 1 3
"1437" "3" 4 58 0 0
"1438" "3" 4 59 1 3
"1439" "3" 4 60 0 0
"1440" "3" 4 61 0 0
"1441" "3" 4 62 1 3
"1442" "3" 4 63 0 0
"1443" "3" 4 64 1 3
"1444" "3" 4 65 0 0
"1445" "3" 4 66 1 3
"1446" "3" 4 67 0 0
"1447" "3" 4 68 1 3
"1448" "3" 4 69 0 0
"1449" "3" 4 70 1 3
"1450" "3" 4 71 0 0
"1451" "3" 4 72 1 3
"1452" "3" 4 73 0 0
"1453" "3" 4 74 1 3
"1454" "3" 4 75 0 0
"1455" "3" 4 76 1 3
"1456" "3" 4 77 0 0
"1457" "3" 4 78 1 3
"620" "4" 1 1 0 4
"621" "4" 1 2 1 3
"600" "4" 2 1 1 0
"601" "4" 2 2 0 -3
"625" "4" 3 1 0 -3
"626" "4" 3 2 1 -4
"622" "4" 4 1 0 32
"623" "4" 4 2 1 3
"1204" "5" 1 1 1 3
"1205" "5" 1 2 0 4
"1206" "5" 1 3 1 3
"1207" "5" 1 4 0 0
