"subject" "problem" "trial" "option" "outcome" "order"
"1" 1 1 1 1 3 4
"2" 1 1 2 0 0 4
"3" 1 1 3 1 3 4
"4" 1 1 4 1 3 4
"5" 1 1 5 0 4 4
"6" 1 1 6 1 3 4
"7" 1 1 7 0 4 4
"8" 1 1 8 1 3 4
"9" 1 1 9 0 4 4
"10" 1 1 10 1 3 4
"11" 1 1 11 0 4 4
"12" 1 2 1 0 -3 9
"13" 1 2 2 1 0 9
"14" 1 2 3 0 -3 9
"15" 1 2 4 1 0 9
"16" 1 2 5 0 -3 9
"17" 1 2 6 1 0 9
"18" 1 2 7 0 -3 9
"19" 1 2 8 1 0 9
"20" 1 2 9 0 -3 9
"21" 1 2 10 1 0 9
"22" 1 2 11 0 -3 9
"23" 1 2 12 0 -3 9
"24" 1 2 13 0 -3 9
"25" 1 2 14 0 -3 9
"26" 1 2 15 0 -3 9
"27" 1 2 16 0 -3 9
"28" 1 2 17 0 -3 9
"29" 1 2 18 1 0 9
"30" 1 2 19 1 0 9
"31" 1 2 20 0 -3 9
"32" 1 3 1 1 0 1
"33" 1 3 2 0 -3 1
"34" 1 3 3 1 -4 1
"35" 1 3 4 0 -3 1
"36" 1 3 5 1 -4 1
"37" 1 3 6 0 -3 1
"38" 1 3 7 1 0 1
"39" 1 3 8 0 -3 1
"40" 1 3 9 1 -4 1
"41" 1 3 10 0 -3 1
"42" 1 3 11 1 -4 1
"43" 1 3 12 0 -3 1
"44" 1 4 1 1 3 6
"45" 1 4 2 0 0 6
"46" 1 4 3 1 3 6
"47" 1 4 4 0 32 6
"48" 1 4 5 1 3 6
"49" 1 4 6 0 0 6
"50" 1 4 7 1 3 6
"51" 1 4 8 0 0 6
"52" 1 4 9 1 3 6
"53" 1 4 10 0 0 6
"54" 1 4 11 0 0 6
"55" 1 4 12 0 32 6
"56" 1 4 13 0 0 6
"57" 1 4 14 0 0 6
"58" 1 4 15 0 0 6
"59" 1 4 16 0 0 6
"60" 1 4 17 0 0 6
"61" 1 4 18 0 0 6
"62" 1 4 19 0 0 6
"63" 1 4 20 0 0 6
"64" 1 4 21 0 0 6
"65" 1 4 22 0 0 6
"66" 1 4 23 0 0 6
"67" 1 4 24 0 0 6
"68" 1 4 25 0 0 6
"69" 1 4 26 0 0 6
"70" 1 4 27 0 0 6
"71" 1 4 28 0 0 6
"72" 1 4 29 0 0 6
"73" 1 4 30 0 0 6
"74" 1 4 31 0 0 6
"75" 1 4 32 0 0 6
"76" 1 4 33 1 3 6
"77" 1 4 34 0 32 6
"78" 1 4 35 1 3 6
"79" 1 4 36 0 0 6
"80" 1 4 37 0 0 6
"81" 1 4 38 0 0 6
"82" 1 4 39 0 32 6
"83" 1 4 40 0 0 6
"84" 1 4 41 0 0 6
"85" 1 4 42 0 0 6
"86" 1 4 43 1 3 6
"87" 1 4 44 0 0 6
"88" 1 4 45 0 0 6
"89" 1 4 46 1 3 6
"90" 1 4 47 0 0 6
"91" 1 4 48 1 3 6
"92" 1 4 49 0 0 6
"93" 1 4 50 1 3 6
"94" 1 4 51 0 0 6
"95" 1 4 52 1 3 6
"96" 1 4 53 0 0 6
"97" 1 4 54 1 3 6
"98" 1 4 55 0 0 6
"99" 1 4 56 1 3 6
"100" 1 4 57 1 3 6
"101" 1 4 58 0 0 6
"102" 1 4 59 0 0 6
"103" 1 4 60 0 0 6
"104" 1 4 61 0 0 6
"105" 1 4 62 1 3 6
"106" 1 4 63 0 0 6
"107" 1 4 64 1 3 6
"108" 1 4 65 0 0 6
"109" 1 4 66 0 0 6
"110" 1 4 67 1 3 6
"111" 1 4 68 0 0 6
"112" 1 4 69 1 3 6
"113" 1 4 70 1 3 6
"114" 1 4 71 1 3 6
"115" 1 4 72 1 3 6
"116" 1 4 73 0 0 6
"117" 1 4 74 0 0 6
"118" 1 4 75 0 0 6
"119" 1 4 76 0 0 6
"120" 1 4 77 0 0 6
"121" 1 4 78 0 0 6
"122" 1 4 79 0 0 6
"123" 1 4 80 1 3 6
"124" 1 4 81 0 0 6
"125" 1 4 82 1 3 6
"126" 1 4 83 0 0 6
"127" 1 4 84 1 3 6
"128" 1 4 85 0 0 6
"129" 1 4 86 1 3 6
"130" 1 4 87 0 0 6
"131" 1 4 88 1 3 6
"132" 1 4 89 0 0 6
"133" 1 4 90 0 0 6
"134" 1 4 91 0 0 6
"135" 1 4 92 0 0 6
"136" 1 4 93 0 0 6
"137" 1 4 94 1 3 6
"138" 1 4 95 1 3 6
"139" 1 4 96 1 3 6
"140" 1 4 97 1 3 6
"141" 1 4 98 0 0 6
"142" 1 4 99 1 3 6
"143" 1 4 100 0 0 6
"144" 1 4 101 0 0 6
"145" 1 4 102 1 3 6
"146" 1 4 103 1 3 6
"147" 1 5 1 1 0 7
"148" 1 5 2 0 0 7
"149" 1 5 3 1 0 7
"150" 1 5 4 0 0 7
"151" 1 5 5 1 0 7
"152" 1 5 6 0 0 7
"153" 1 5 7 1 0 7
"154" 1 5 8 0 0 7
"155" 1 5 9 1 3 7
"156" 1 5 10 0 0 7
"157" 1 5 11 1 0 7
"158" 1 5 12 0 0 7
"159" 1 5 13 1 3 7
"160" 1 5 14 0 0 7
