,iteration,success,k,N,msd,prelec_gamma,s
0,0,True,2,1200,0.0289456376071,1.33353857195,10.0
1,1,True,2,1200,0.0289456376071,1.33353848789,10.0
2,2,True,2,1200,0.0289456376071,1.33353850242,10.0
