,iteration,success,k,N,msd,prelec_gamma,s
0,0,True,2,1200,0.0168004676159,0.998880303078,16.9217830607
1,1,True,2,1200,0.0168004676159,0.998880304792,16.9217843278
2,2,True,2,1200,0.0168004676159,0.998880303409,16.9217829755
