,iteration,success,nllh,k,N,bic,theta,sc
0,0,False,,2,6000,,1,4.01101880542
1,0,False,,2,6000,,2,9.3618722975
2,0,False,,2,6000,,3,6.58638091459
3,0,False,,2,6000,,4,7.73503841738
4,0,False,,2,6000,,5,7.35657006345
5,0,False,,2,6000,,6,5.70554195178
6,0,False,,2,6000,,7,9.32883833378
7,0,False,,2,6000,,8,9.0554635879
8,0,False,,2,6000,,9,8.51491903292
9,0,False,,2,6000,,10,1.5464450459
