,iteration,success,nllh,k,N,bic,theta,prelec_gamma,sc
0,0,True,1451.57652446,3,400,2921.12744255,1,0.770097944088,4.9544631901
1,0,True,1265.29410953,3,400,2548.5626127,2,0.82914791858,2.84293161666
2,0,True,1897.62988259,3,400,3813.23415882,3,0.892250839713,2.44745308461
3,0,True,2895.2277191,3,400,5808.42983184,4,0.870774986826,1.26232348229
4,0,True,3770.29078692,3,400,7558.55596749,5,0.689255885543,1.54209082031
5,0,True,4217.70406139,3,400,8453.38251642,6,0.592787311249,1.35368318504
6,0,True,4432.98704907,3,400,8883.94849179,7,0.580044246679,1.95605676137
7,0,True,4567.51572825,3,400,9153.00585015,8,0.659872883797,3.76296665621
8,0,True,4631.85561155,3,400,9281.68561674,9,0.767326742411,5.48842901878
9,0,True,4656.50929267,3,400,9330.99297899,10,0.775678446417,6.46750893276
