,iteration,success,nllh,k,N,bic,theta,k,prelec_gamma
0,0,True,371629.776134,0.690265795823,60000,743292.558568,1,0.690265795823,1.29530972983
1,0,True,185224.669231,1.45361246884,60000,370482.344761,2,1.45361246884,0.909996437623
2,0,True,185274.008511,1.56772192469,60000,370581.023322,3,1.56772192469,0.918263813672
