,iteration,success,nllh,k,N,bic,theta,tau
0,0,False,183524.069347,2,60000,367070.142894,1,
1,0,True,138837.832713,2,60000,277697.669626,2,0.898801096647
2,0,True,163918.583867,2,60000,327859.171934,3,0.999999919331
