,iteration,success,nllh,k,N,bic,theta,k
0,0,True,16541.9337976,0.565008181401,6000,33101.2666247,1,0.565008181401
1,0,True,13905.5335068,0.677583773527,6000,27828.4660431,2,0.677583773527
