,iteration,success,nllh,k,N,bic,c_sigma,p_stop_geom,prelec_elevation,prelec_gamma,tau_rel_trunc
0,0,True,967.072612568,5,230,1961.33562168,50.9194034249,0.0735734544741,2.35872511211,1.99343152189,49.3254357335
1,1,True,966.195636074,5,230,1959.58166869,13.871824614,0.0786339015374,1.85270281755,2.93617607772,63.2066773189
2,2,True,966.716628466,5,230,1960.62365348,103.784977671,0.0798652388675,1.67022498172,1.81224062008,86.6234994365
3,3,True,966.797910437,5,230,1960.78621742,74.9983419722,0.0789749430004,2.20587925973,1.3001149036,61.21023109
4,4,True,966.843196588,5,230,1960.87678972,105.969314208,0.0764629378837,1.10013633004,2.19598954512,38.4435057296
