,iteration,success,nllh,k,N,bic,theta,pow_gain,w_loss,p_stay,tau
0,0,True,945.530265369,5,230,1918.25092728,2,0.409263408979,1.05581812632,0.759148433729,1.07016239977e-07
1,0,True,944.605017927,5,230,1916.4004324,3,0.519950134752,5.4283338136,0.491143772194,6.49606668361e-10
2,0,True,944.87481782,5,230,1916.94003219,4,0.588608871578,0.480415721836,0.130328871114,4.72774338784e-11
3,0,True,953.607082605,5,230,1934.40456175,5,0.571288443842,3.02261540289,1.73158180162e-06,7.81115158358e-06
4,0,True,976.947923352,5,230,1981.08624325,6,0.52720507549,1.76511505873,5.08929767909e-09,1.14885095962e-07
5,1,True,945.530268176,5,230,1918.2509329,2,0.409313829355,0.043299828308,0.759141456091,1.4845870715e-06
6,1,True,944.605019066,5,230,1916.40043468,3,0.519971777493,3.11317492399,0.491172917315,9.73101224899e-08
7,1,True,944.874817995,5,230,1916.94003254,4,0.588603858949,2.27057411191,0.130321967629,3.59595133225e-08
8,1,True,953.961605596,5,230,1935.11360774,5,0.567456800958,1.74016766334,1.10244623628e-08,0.0220560001975
9,1,True,977.04418567,5,230,1981.27876788,6,0.527795398339,1.77661943034,5.45674690377e-10,0.00229392167679
10,2,True,945.530265897,5,230,1918.25092834,2,0.409272164029,1.03881356711,0.759170424812,2.27003633523e-08
11,2,True,944.605018097,5,230,1916.40043274,3,0.519936322871,0.735201481651,0.491159941502,1.30717717299e-08
12,2,True,944.874821152,5,230,1916.94003885,4,0.588572867979,2.27745886587,0.130463180657,1.96908379833e-07
13,2,True,953.661386704,5,230,1934.51316995,5,0.568138914175,1.24741827534,0.00131359817693,3.00149865228e-08
14,2,True,977.070040411,5,230,1981.33047737,6,0.524891970746,2.34044206907,3.00917750581e-08,0.00281724861356
15,3,True,951.215881415,5,230,1929.62215937,2,0.441027982114,1.0920501339e-05,0.733763553724,1.73194582673
16,3,True,944.60502077,5,230,1916.40043809,3,0.519959546159,2.26193481537,0.491098406841,5.74526291054e-07
17,3,True,944.87481782,5,230,1916.94003218,4,0.588607782775,2.31228499545,0.130330150953,1.70947157346e-13
18,3,True,953.603736863,5,230,1934.39787027,5,0.568149468798,1.35473055428,3.27257001767e-07,5.45668088549e-06
19,3,True,976.947935434,5,230,1981.08626741,6,0.527259601737,2.26148324281,2.9730705983e-07,6.67705523951e-08
20,4,True,945.530276665,5,230,1918.25094988,2,0.409360404373,2.36585926635,0.759206220695,2.29215136454e-07
21,4,True,944.605018512,5,230,1916.40043357,3,0.519990868415,1.55161032702,0.491142712832,1.59325965832e-08
22,4,True,944.874817844,5,230,1916.94003223,4,0.588599868206,1.33293707638,0.13032809051,1.39569159524e-11
23,4,True,954.640565123,5,230,1936.47152679,5,0.569140051381,1.93403998254,2.53191584837e-08,0.0597960710524
24,4,True,976.947945951,5,230,1981.08628845,6,0.527528943939,1.83057379101,2.45550806425e-07,1.4153168415e-07
