,iteration,success,nllh,k,N,bic,theta,prelec_gamma,p_stay,tau
0,0,True,957.985474733,4,230,1937.7232667,2,1.65068837099,0.754260431822,2.99749379956e-07
1,0,True,960.860183857,4,230,1943.47268495,3,1.41901005909,0.472010734552,7.49799980221e-07
2,0,True,1768.14718609,4,230,3558.04668941,4,1.28107612726,0.116070055378,27.3579947914
3,1,True,958.007741217,4,230,1937.76779967,2,1.67155937166,0.756220003507,1.25083870153e-05
4,1,True,1516.64465079,4,230,3055.04161882,3,1.37296251781,0.444401295603,28.0239590803
5,1,True,964.532652753,4,230,1950.81762274,4,1.2996981457,0.0673761649303,4.49027192591e-07
6,2,True,967.688456956,4,230,1957.12923115,2,1.5747167148,0.715966765423,31.5073257813
7,2,True,960.859988938,4,230,1943.47229511,3,1.41940351953,0.4728077154,7.18761125998e-08
8,2,True,1157.01645998,4,230,2335.7852372,4,0.0561810694149,0.735256731028,1.77827396102e-07
9,3,True,967.688456956,4,230,1957.12923115,2,1.57471460353,0.715966418613,31.8414744574
10,3,True,960.859983089,4,230,1943.47228341,3,1.41958526917,0.472745842878,2.97069323619e-07
11,3,True,1013.80622166,4,230,2049.36476055,4,0.618502792012,0.0607284514066,2.41953485235e-08
12,4,True,967.688456421,4,230,1957.12923008,2,1.5747181324,0.715966803398,18.4248246299
13,4,True,960.859984149,4,230,1943.47228553,3,1.41958682072,0.472749528667,9.29918945987e-07
14,4,True,1006.93593364,4,230,2035.62418452,4,1.61707591816,0.575880697451,1.72546443721e-08
