,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_theta,bf_p_stay,bf_tau,bf_prelec_gamma
0,,,,,,1,0,0.001,,,,2,,,1.0847474194600002
1,,,,,,2,0,0.001,,,,3,,,1.0931486647999999
2,,,,,,3,0,0.001,,,,3,,,0.73593087591999995
