,iteration,success,nllh,k,N,bic,c_sigma,p_stop_geom,prelec_elevation,prelec_gamma,sc,tau_rel_trunc
0,0,True,690.942512234,6,150,1411.94883623,157.790427597,0.0522547229142,1.9387416751,2.53595545678,0.487858398962,49.9156993697
1,1,True,691.49704102,6,150,1413.0578938,163.121463796,0.0532565110738,2.4872141398,2.39744606063,0.378407760704,14.4842536104
2,2,True,689.418414543,6,150,1408.90064085,152.056886982,0.0578070871586,2.09666784062,1.90087467074,1.56915597106,11.5795323532
