,iteration,success,nllh,k,N,bic,c_sigma,p_stop_geom,prelec_elevation,prelec_gamma,tau_rel_trunc
0,0,True,692.691390289,5,150,1410.43595705,97.6475843888,0.055305081479,1.90649518826,2.31087085041,92.5304468012
1,1,True,693.626552129,5,150,1412.30628073,150.693226527,0.0563106072913,1.40667185699,1.5179892065,34.7523362508
2,2,True,693.448865766,5,150,1411.950908,219.619140369,0.0536878608215,1.75191584429,2.39234147248,68.4698980089
3,3,True,693.276416252,5,150,1411.60600897,29.1404769913,0.0542413693498,0.384886200083,2.88712598849,38.8520494724
4,4,True,692.005722336,5,150,1409.06462114,40.3786051618,0.0494435516659,0.280348298179,2.69965830903,69.2265328983
