,iteration,success,k,N,msd,prelec_gamma,s
0,0,True,2,120,0.205,0.115322231398,3.5744104612e-17
1,1,True,2,120,0.00142607070691,2.25785032785,10.0
2,2,True,2,120,0.00142607070728,2.25783889315,10.0
