<<<<<<< HEAD
,iteration,success,k,N,msd,prelec_gamma,s
0,0,True,2,120,0.0741666666667,0.354774196707,2.86171274953e-17
1,1,True,2,120,0.00960676065328,1.07602905644,5.07348133848
2,2,True,2,120,0.0741666666667,0.380839205001,3.09526138617e-17
=======
,iteration,success,k,N,msd,llh,prelec_gamma,s
0,0,True,2,600,,303.383217214,1.06492699335,7.22904168232
1,1,True,2,600,,346.281021869,2.94858408961,0.628582303469
2,2,True,2,600,,346.281021868,2.94854140319,0.628580853569
>>>>>>> 9f89458e7b0515ba4c36f612cfef112ada07ae2b
