,iteration,success,k,N,msd,llh,prelec_gamma,s
0,0,True,2,600,,290.135051453,1.13453389404,3.93667667556
1,1,True,2,600,,290.135051453,1.13452962112,3.93677069305
2,2,True,2,600,,290.135051448,1.1345312437,3.93674069571
