,iteration,success,k,N,msd,prelec_gamma,s
0,0,True,2,120,0.00310267771542,1.1351007848,3.71867245667
1,1,True,2,120,0.00310267771542,1.13510078511,3.71867242157
2,2,True,2,120,0.00310267771542,1.13510078376,3.71867245055
