,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_theta,bf_s,bf_prelec_gamma
0,,0,,,,5,0.8,,,,0.14367374249099998,2.9999996745200002
1,,1,,,,5,0.8,,,,0.21186575788400003,2.9999737561500002
2,,2,,,,5,0.8,,,,8.0380146982899994e-14,2.45707752634
3,,3,,,,5,0.8,,,,0.274259399076,2.9999992012100001
4,,4,,,,5,0.8,,,,0.18370264871700001,2.9999840108999996
5,,5,,,,5,0.8,,,,1.1858324353599999e-10,1.0705466073100001
6,,6,,,,5,0.8,,,,1.9466213249900001e-05,1.0416971802600001
7,,7,,,,5,0.8,,,,8.4376949871500001e-15,1.9657176603099999
8,,8,,,,5,0.8,,,,0.0048524039493000005,0.010019844151600002
9,,9,,,,5,0.8,,,,0.115088399169,2.9999954608700001
