<<<<<<< HEAD
,iteration,success,k,N,msd,prelec_gamma,s
0,0,True,2,120,0.0607683507375,3.0,0.231127983807
1,1,True,2,120,0.07,0.14764350953,4.25778216586e-17
2,2,True,2,120,0.07,0.39574339566,6.08402217495e-14
=======
,iteration,success,k,N,msd,llh,prelec_gamma,s
0,0,True,2,600,,288.414812976,1.03365634146,15.1255058136
1,1,True,2,600,,415.888309461,0.358589337909,6.29824788538e-09
2,2,True,2,600,,288.414812976,1.03365627024,15.1255262644
>>>>>>> 9f89458e7b0515ba4c36f612cfef112ada07ae2b
