<<<<<<< HEAD
,iteration,success,k,N,msd,prelec_gamma,s
0,0,True,2,120,0.013594942137,1.03608890311,14.0937135473
1,1,True,2,120,0.013594942137,1.03608890346,14.0937137822
2,2,True,2,120,0.105416666667,0.46965728892,8.03801469829e-14
=======
,iteration,success,k,N,msd,llh,prelec_gamma,s
0,0,True,2,600,,287.284007788,1.03392300073,15.2486254615
1,1,True,2,600,,399.975914776,4.99993120327,0.261010201711
2,2,True,2,600,,1197.91546369,4.99999999113,4.54370956622
>>>>>>> 9f89458e7b0515ba4c36f612cfef112ada07ae2b
