,iteration,success,nllh,k,N,bic,c_sigma,prelec_elevation,prelec_gamma,tau_rel_trunc,theta
0,0,True,683.557282006,5,150,1392.16774048,7.50083574622,1.05433303124,1.27234628482,23.724239286,38.6088657943
1,1,True,683.206785685,5,150,1391.46674784,29.0497038331,0.808859744229,2.07505383555,0.305338461221,119.59266698
2,2,True,680.866966517,5,150,1386.7871095,8.13192710042,0.31622833352,2.8232747947,66.005168744,36.5689588275
3,3,True,679.573679638,5,150,1384.20053575,16.3601834055,0.562086235032,2.29071058506,0.562359306418,78.8955369431
4,4,True,683.626943121,5,150,1392.30706271,6.24476450484,0.479660522986,1.97883139415,9.45647594103,28.0338675824
