,iteration,success,nllh,k,N,bic,c_sigma,prelec_elevation,prelec_gamma,sc,tau_rel_trunc,theta
0,0,True,687.505136362,6,150,1405.07408449,29.4636242726,0.999259718349,2.48952547826,0.816886042556,7.26748283806,129.724223018
1,1,True,686.146354913,6,150,1402.35652159,27.0036536361,2.29652894147,1.29849332128,1.76835811418,0.4720949547,110.396998361
2,2,True,681.332489831,6,150,1392.72879143,18.4210928883,0.857320672594,2.51253014078,0.745464415107,0.707032246685,83.9284547166
