,iteration,success,nllh,k,N,bic,c_sigma,prelec_elevation,prelec_gamma,tau_rel_trunc,theta
0,0,True,946.787292984,5,230,1920.76498251,12.6531498806,2.51202367236,1.32302481106,6.11915531261,46.7531718039
1,1,True,948.214492357,5,230,1923.61938126,16.3675155105,1.76481136302,2.25741638471,0.850678479459,57.5992847271
2,2,True,948.464112435,5,230,1924.11862141,13.2233067755,1.41383315792,2.44247129082,50.5440126054,52.02060642
3,3,True,947.635230876,5,230,1922.4608583,13.90717886,1.15398156683,1.70633676897,80.3646029487,53.2270759483
4,4,True,946.257881052,5,230,1919.70615865,13.9231885598,1.91977110676,0.874021047971,5.57049874984,49.0158124687
