"subject" "problem" "trial" "option" "outcome"
"251" 30 2 1 1 0
"252" 30 2 2 1 0
"253" 30 2 3 1 0
"254" 30 2 4 1 0
"255" 30 2 5 1 0
"256" 30 2 6 1 0
"257" 30 2 7 1 3
"258" 30 2 8 1 0
"259" 30 2 9 1 0
"260" 30 2 10 1 0
"261" 30 2 11 1 0
"262" 30 2 12 1 3
"263" 30 2 13 0 0
"264" 30 2 14 0 0
"265" 30 2 15 0 0
"266" 30 2 16 0 0
"267" 30 2 17 0 0
"268" 30 2 18 0 0
"269" 30 2 19 0 0
"270" 30 2 20 0 4
"209" 30 3 1 0 -3
"210" 30 3 2 0 -3
"211" 30 3 3 1 0
"212" 30 3 4 0 -3
"213" 30 3 5 1 0
"214" 30 3 6 1 0
"215" 30 3 7 0 -3
"216" 30 3 8 0 -3
"217" 30 3 9 1 -32
"218" 30 3 10 0 -3
"219" 30 3 11 1 0
"220" 30 3 12 0 -3
"221" 30 3 13 1 0
"222" 30 3 14 0 -3
"223" 30 3 15 1 0
"224" 30 3 16 0 -3
"225" 30 3 17 1 0
"226" 30 3 18 0 -3
"227" 30 3 19 1 -32
"228" 30 3 20 1 0
"229" 30 3 21 1 0
"230" 30 3 22 1 0
"231" 30 3 23 1 0
"232" 30 3 24 1 0
"233" 30 3 25 1 0
"234" 30 3 26 1 0
"235" 30 3 27 1 -32
"287" 30 4 1 0 -3
"288" 30 4 2 0 -3
"289" 30 4 3 0 -3
"290" 30 4 4 0 -3
"291" 30 4 5 0 -3
"292" 30 4 6 0 -3
"293" 30 4 7 0 -3
"294" 30 4 8 0 -3
"295" 30 4 9 0 -3
"296" 30 4 10 0 -3
"297" 30 4 11 1 -4
"298" 30 4 12 1 -4
"299" 30 4 13 1 -4
"300" 30 4 14 1 -4
"301" 30 4 15 1 -4
"302" 30 4 16 1 0
"271" 30 5 1 1 3
"272" 30 5 2 1 3
"273" 30 5 3 1 3
"274" 30 5 4 1 3
"275" 30 5 5 1 3
"276" 30 5 6 1 3
"277" 30 5 7 1 3
"278" 30 5 8 1 3
"279" 30 5 9 1 3
"280" 30 5 10 1 3
"281" 30 5 11 1 3
"282" 30 5 12 1 3
"283" 30 5 13 0 0
"284" 30 5 14 0 0
"285" 30 5 15 0 0
"286" 30 5 16 0 32
"303" 30 6 1 1 0
"304" 30 6 2 1 0
"305" 30 6 3 1 3
"306" 30 6 4 1 0
"307" 30 6 5 1 0
"308" 30 6 6 1 0
"309" 30 6 7 1 0
"310" 30 6 8 1 3
"311" 30 6 9 1 0
"312" 30 6 10 1 3
"313" 30 6 11 0 0
"314" 30 6 12 0 0
"315" 30 6 13 0 0
"316" 30 6 14 0 0
"317" 30 6 15 0 0
"318" 30 6 16 0 0
"319" 30 6 17 0 32
"352" 31 1 1 1 3
"353" 31 1 2 1 3
"354" 31 1 3 1 3
"355" 31 1 4 1 3
"356" 31 1 5 1 3
"357" 31 1 6 1 3
"358" 31 1 7 1 3
"359" 31 1 8 0 4
"360" 31 1 9 0 4
"361" 31 1 10 0 4
"362" 31 1 11 0 4
"363" 31 1 12 0 4
"364" 31 1 13 0 4
"365" 31 2 1 0 0
"366" 31 2 2 0 0
"367" 31 2 3 0 0
"368" 31 2 4 0 4
"369" 31 2 5 0 4
"370" 31 2 6 0 0
"371" 31 2 7 0 0
"372" 31 2 8 0 0
"373" 31 2 9 0 0
"374" 31 2 10 1 0
"375" 31 2 11 1 0
"376" 31 2 12 1 3
"377" 31 2 13 1 0
"378" 31 2 14 1 0
"379" 31 2 15 1 0
"380" 31 2 16 1 0
"320" 31 3 1 1 0
"321" 31 3 2 1 0
"322" 31 3 3 0 -3
"323" 31 3 4 0 -3
"324" 31 3 5 1 0
"325" 31 3 6 1 0
"326" 31 3 7 1 0
"327" 31 3 8 1 0
"328" 31 3 9 0 -3
"329" 31 3 10 0 -3
"395" 31 4 1 0 -3
"396" 31 4 2 0 -3
"397" 31 4 3 0 -3
"398" 31 4 4 0 -3
"399" 31 4 5 0 -3
"400" 31 4 6 0 -3
"401" 31 4 7 0 -3
"402" 31 4 8 1 -4
"403" 31 4 9 1 -4
"404" 31 4 10 1 -4
"405" 31 4 11 1 -4
"406" 31 4 12 1 -4
"407" 31 4 13 1 -4
"381" 31 5 1 0 0
"382" 31 5 2 0 0
"383" 31 5 3 0 0
"384" 31 5 4 0 0
"385" 31 5 5 0 0
"386" 31 5 6 0 0
"387" 31 5 7 0 0
"388" 31 5 8 1 3
"389" 31 5 9 1 3
"390" 31 5 10 1 3
"391" 31 5 11 1 3
"392" 31 5 12 1 3
"393" 31 5 13 1 3
"394" 31 5 14 1 3
"330" 31 6 1 0 0
"331" 31 6 2 1 3
"332" 31 6 3 1 0
"333" 31 6 4 1 0
"334" 31 6 5 1 0
"335" 31 6 6 1 3
"336" 31 6 7 1 0
"337" 31 6 8 1 0
"338" 31 6 9 1 0
"339" 31 6 10 1 0
"340" 31 6 11 0 0
"341" 31 6 12 0 0
"342" 31 6 13 0 0
"343" 31 6 14 0 0
"344" 31 6 15 0 0
"345" 31 6 16 0 0
"346" 31 6 17 0 0
"347" 31 6 18 0 0
"348" 31 6 19 0 0
"349" 31 6 20 1 0
"350" 31 6 21 1 0
"351" 31 6 22 1 3
"458" 32 1 1 1 3
"459" 32 1 2 1 3
"460" 32 1 3 1 3
"461" 32 1 4 1 3
"462" 32 1 5 1 3
"463" 32 1 6 0 4
"464" 32 1 7 0 4
"465" 32 1 8 0 0
"466" 32 1 9 0 0
"467" 32 1 10 0 4
"468" 32 1 11 0 4
"469" 32 1 12 0 0
"470" 32 1 13 0 4
"471" 32 1 14 0 4
"472" 32 1 15 0 4
"473" 32 1 16 0 4
"474" 32 1 17 0 0
"475" 32 1 18 1 3
"476" 32 1 19 1 3
"477" 32 1 20 1 3
